asin,date,manufacturer,price,rank
B01GPMWF2W,,ダッカ,380.0,308934.0
B018VOMC98,,UEB,500.0,879805.0
B013XY4LPY,,asian,1000.0,50365.0
B01GMELSQ2,,Pinhen,1200.0,168151.0
B013XYAWOI,,asian,1000.0,145673.0
B000CSOV96,,"Shenzhen Guangxin Long Co., Technology",1421.0,25.0
B0122BADGK,,,1900.0,6205.0
B00Q8K3OTA,2015-11-05,Jawbone,1995.0,321971.0
B01AN7F8FG,,YAMAYTECH,1895.0,
B01CTGMEP6,,WIZE,1800.0,329617.0
B016W3PI8W,,Shop-Riez,1980.0,448008.0
B01FUC3XC4,,Prosensor,1699.0,597267.0
B01I6IHM9E,,"Shenzhen Guangxin Long Co., Technology",1563.0,
B01I6GM2SW,,"Shenzhen Guangxin Long Co., Technology",1563.0,
B01I6F3M7I,,"Shenzhen Guangxin Long Co., Technology",1563.0,
B01I6GGA94,,"Shenzhen Guangxin Long Co., Technology",1563.0,
B01G6T8D02,,,1845.0,
B01FM1TCHS,,Jawbone,2467.0,2531.0
B01HHX3JI2,,Three-T,2180.0,
B015PFSV9Q,,Excelvan,2000.0,37152.0
B014PB6YOA,,,2399.0,49892.0
B01GMELT7U,,Pinhen,2030.0,
B01HEPWY6G,,Jisong Co; Ltd,2400.0,
B01HEP9AUE,,Jisong Co;Ltd,2400.0,
B01G54C0XO,,,2462.0,
B0185D06SY,,FITBIT,2430.0,1335133.0
B017XMW280,,Excelvan,2780.0,672.0
B01FD8LUS4,,Lendoo,2900.0,1363.0
B01COWZYX4,,Jcotton Design,2979.0,4755.0
B01DBBDWL8,,UTOVME,2999.0,51644.0
B0183QP4XU,,,2890.0,4082.0
B019VXE1MO,,Xiaomi,2600.0,833.0
B01DBKOJZ2,,,2500.0,4202.0
B01DBKOLW8,,,2524.0,6983.0
B0185P1794,,,2890.0,11246.0
B01CP2CERM,,Diggro,2780.0,6531.0
B01DBKOL28,,,2652.0,60913.0
B01E6W37F2,,UTOVME,2899.0,22732.0
B00JIH9CVY,2014-04-08,Jawbone,,127339.0
B01GMELSV2,,Pinhen,2890.0,
