asin,average_rate,num_of_rate,review_url
B01GPMWF2W,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GPMWF2W&atag=kyoheikoga04-22&exp=2016-07-16T04%3A40%3A53Z&v=2&sig=Mf7Y7CsbS4GRULhqfFkCJ4aTKR8tD3tsOpie6m57t90%3D
B013XY4LPY,2.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B013XY4LPY&atag=kyoheikoga04-22&exp=2016-07-16T04%3A40%3A57Z&v=2&sig=Wn35P9zx16z7AFSpWKk5Aqd8lLslOEJarQlZiFaYHxU%3D
B01GMELSQ2,4.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GMELSQ2&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A02Z&v=2&sig=tWNCFMnAh%2FGGj4SdJLHN6r8z4KRhWtv2PCVAkUczH60%3D
B000CSOV96,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B000CSOV96&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A08Z&v=2&sig=Ki3tC1FGz7f3OFC47Hm2evUvYPwuq23%2FE4tBT92xaYo%3D
B0122BADGK,3.6,34,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0122BADGK&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A10Z&v=2&sig=5N5MeKXDuSTk2qJbOwpd08YfzotnQnnoS4CaZAOpZTE%3D
B00Q8K3OTA,4.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00Q8K3OTA&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A15Z&v=2&sig=M8GrDQWwPDvLS2V1WX%2FY%2FhAUeNkEvltRFEaozzy4h%2Fg%3D
B01AN7F8FG,4.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01AN7F8FG&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A20Z&v=2&sig=hRWbqOA5lmPOpgUId%2Fz0eD4zlwyje4F8WVrV%2BrFNw9E%3D
B016W3PI8W,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B016W3PI8W&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A26Z&v=2&sig=QVO9m3FcSVXve%2FtHBlzTwPw2KGUBCWTaHkTFhbcOrxU%3D
B01FUC3XC4,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FUC3XC4&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A29Z&v=2&sig=wTfHsqq8bMIatHKhhQF9u%2B62Y865c5IQjuy2Nuyvqvw%3D
B01I6IHM9E,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01I6IHM9E&atag=kyoheikoga04-22&exp=2016-07-16T04%3A41%3A31Z&v=2&sig=oE7zRqdRFyv9hVEX9NNjvNRE4wNxY7tEH4%2FGQERHaa0%3D
