asin,date,manufacturer,price,rank
B00YBY039O,,DLAND,499.0,27558.0
B00XMUYASS,,Leesentec(リーセンテック),799.0,12795.0
B00XMTMTYG,,Leesentec(リーセンテック),799.0,59600.0
B0132J53JI,,ポケットシステムズ,980.0,178966.0
B01FGVT0OE,,IPRO,500.0,263855.0
B0186P92W2,,SODIAL(R),183.0,90654.0
B0136E8A08,,SPEED,777.0,283089.0
B01AIEBE3E,,EYOUBE ELECTRONICS,600.0,718030.0
B0186P91RI,,SODIAL(R),182.0,716781.0
B00W5B69ZC,,Microsoft,980.0,671813.0
B014646OJG,,Xgeek,309.0,
B01DEULN26,,YideaHome,435.0,
B0136DBVIM,,未来ネットワーク,611.0,
B012CV1VMK,,Shenzhen Wave,1899.0,4508.0
B01CU1RS42,,EloBeth,1658.0,14655.0
B00UZ81GW8,,STK,1990.0,45099.0
B01CU1QZR8,,EloBeth,1764.0,13690.0
B01GZW7UCM,,Egeek,1200.0,115983.0
B0177Y8VT8,,"Shenzhen Yoluke Technology Co., Limited",1799.0,30147.0
B019C3D24Q,,Tera,1890.0,49904.0
B00O9PP28M,,「realtime」,1499.0,95429.0
B015GZNIHK,,Shenzhen Wave,1999.0,44219.0
B015DNYFUE,,Shenzhen Wave,1999.0,27697.0
B00XVBEQJ6,,DLAND,1299.0,453035.0
B00VWTQ3AO,,Flylinktech,1990.0,45360.0
B01E8WJOY8,,easybuyjp,1195.0,930.0
B00VWLCKGI,,Flylinktech,1680.0,131095.0
B00NMA7UUI,,ネット販売専門,1980.0,70283.0
B01EMX8J0S,,Flylinktech,1880.0,195813.0
B01CCM98JC,,STK,1660.0,158337.0
B01985DV8A,,Tera,1590.0,73675.0
B01CCLYGOK,,STK,1660.0,118399.0
B01D9ZNDDI,,Best Express(authorized by ECSEM),1500.0,
B01CU1QTOW,,EloBeth,1850.0,48401.0
B0110P7FCY,,スマートテック,1960.0,2355689.0
B01G3G07ZM,,Flylinktech,1990.0,240721.0
B01EZMHBO6,,STK,1600.0,185703.0
B01F2QE3C2,,Xiaomi,1200.0,289546.0
B01CCLZBQC,,STK,1660.0,184037.0
B00NMA7QBQ,,ネット販売専門,1940.0,39599.0
B01AXUFEHA,,深セン市の日株式会社生息地ネットワーク技術有限公司、,1985.0,23233.0
B01ARIA6LW,,Mindkoo,1300.0,239271.0
B01AXUEJIK,,深セン市の日株式会社生息地ネットワーク技術有限公司、,1985.0,356731.0
B01EZFVNOW,,STK,1600.0,23528.0
B01FDCPLOY,,LQM(Jp),1980.0,402459.0
B01GCV6FQS,,easybuyjp,1099.0,435.0
B015R3R1YW,,Meiya,1980.0,649731.0
B015S84JPK,,Meiya,1980.0,969407.0
B01CU1R2F2,,Elobeth,1260.0,890357.0
B01CCLVQUW,,STK,1660.0,889098.0
B010AWYX4G,,passion,1280.0,467974.0
B01HJA911W,,Heens,1419.0,24083.0
B00YV9HUUE,,Generic,1800.0,922927.0
B012DCJ0D0,,emporio（エンポリオ）,1620.0,
