asin,date,manufacturer,price,rank,average_rate,num_of_rate,review_url
B00XMUYASS,,Leesentec(リーセンテック),799.0,12795.0,3.9,10,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00XMUYASS&atag=kyoheikoga04-22&exp=2016-06-29T10%3A04%3A49Z&v=2&sig=pFrXrzPpnPyRfBI4fMCUGWXm18v7RAavoy0rWxg%2Bgt0%3D
B0132J53JI,,ポケットシステムズ,980.0,178966.0,1.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0132J53JI&atag=kyoheikoga04-22&exp=2016-06-29T10%3A04%3A55Z&v=2&sig=OJmOc%2Fw4WKxAwLeg%2Bee88xIfbUbN3HjJ1MBN3ZwMJZ8%3D
B01FGVT0OE,,IPRO,500.0,263855.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FGVT0OE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A00Z&v=2&sig=gHC0G16%2FSUf6b2Aj9hfTV%2FIgZ80IVYpEe85xZBvzP8g%3D
B0186P92W2,,SODIAL(R),183.0,90654.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0186P92W2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A02Z&v=2&sig=22fEAc7dv6W9VvYeCDEpb2SukUaaApA5h6RGxypaam8%3D
B01AIEBE3E,,EYOUBE ELECTRONICS,600.0,718030.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01AIEBE3E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A06Z&v=2&sig=HsZvFPa6FyOgH02O2Mxw9VsC8FF4GVxcwR3X7YdJgDQ%3D
B0186P91RI,,SODIAL(R),182.0,716781.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0186P91RI&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A08Z&v=2&sig=pHgZid7QZV3TT26g06BFEpODEhHQK4DojN80tfM5ikg%3D
B00W5B69ZC,,Microsoft,980.0,671813.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00W5B69ZC&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A11Z&v=2&sig=JgZYGJiWSHm73l4MGuwlFBOGF6gzgq5%2Bruyg2tjlRqc%3D
B014646OJG,,Xgeek,309.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B014646OJG&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A13Z&v=2&sig=XcKIkFW9NdE9cPlm8s8l%2BY8gI2wIPCCQ6cygyWJHWqI%3D
B01DEULN26,,YideaHome,435.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01DEULN26&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A15Z&v=2&sig=Sf0cVKVMYQqLc4cHh3HHNlKl6I2ZnGvDqMCTEzG0alw%3D
B0136DBVIM,,未来ネットワーク,611.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0136DBVIM&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A18Z&v=2&sig=cJOvZg3y62rswAAy5h7xuwCB6c2um2qGPNjYQp59oHo%3D
B012CV1VMK,,Shenzhen Wave,1899.0,4508.0,2.9,53,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B012CV1VMK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A20Z&v=2&sig=7xLaqJFVtsx2A%2FYf0fogpfog24pt%2B90c%2BK1JOO086ok%3D
B01CU1RS42,,EloBeth,1658.0,14655.0,4.3,11,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1RS42&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A25Z&v=2&sig=tw6dBhglPqlIFrFg69tLsEbiWVFJKVgIQ8yKgNRM6Yg%3D
B00UZ81GW8,,STK,1990.0,45099.0,2.3,37,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00UZ81GW8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A30Z&v=2&sig=POkal%2BtKoTD1BTylvN9t1iaXt4sjEUtKaAtKRUnxuWk%3D
